id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C0001,Fassi,Laila,client1@gmail.com,1989-08-20,,Marrakech,0638682516,2023-06-08,Partenaire
C0002,Benani,Omar,client2@gmail.com,1996-03-30,m,Casablanca,0622534217,2024-02-09,Ads
C0003,Chraibi,Ahmed,client3@gmail.com,1954-02-23,f,TANGER,0673771720,2023-09-18,SEO
C0004,Dahbi,Karim,client4@gmail.com,1994-05-09,female,Rabat,0642747037,2022-06-01,SEO
C0005,Ghazi,Amina,client5@gmail.com,1965-10-12,F,Marrakech,0616740197,2023-07-25,Ads
C0006,Hassani,Sara,client6@gmail.com,2017-10-04,m,Marrakech,0692228802,2024-01-07,Direct
C0007,Chraibi,Laila,client7@gmail.com,1990-05-18,Femme,Tnja,0643183955,2023-10-15,Email
C0008,Dahbi,Omar,client8@gmail.com,1989-06-18,,tanger,0648349783,2022-08-29,Email
C0009,Chraibi,Youssef,client9@gmail.com,1970-09-30,F,Rabat,0630509175,2023-12-25,Ads
C0010,Hassani,Karim,client10@invalid.com,1955-08-03,male,TANGER,0666390708,2023-02-03,Direct
C0011,Ghazi,Laila,client11gmail.com,1950-07-13,female,Casablanca,0650079111,2024-02-11,Partenaire
C0012,Dahbi,Laila,client12@gmail.com,1969-09-08,Homme,Tnja,0668496914,2023-05-13,SEO
C0013,Chraibi,Laila,client13@gmail.com,1961-06-14,Homme,Tanger,0662884503,2023-08-30,Direct
C0014,Chraibi,Laila,client14@gmail.com,1966-04-21,Homme,Tanger,0644917589,2023-01-24,Email
C0015,El Amrani,Karim,client15@gmail.com,1972-08-19,Homme,tanger,0673123515,2022-01-20,Direct
C0016,Benani,Ahmed,client16@invalid.com,2017-08-31,f,Tanger,0643189803,2022-07-24,SEO
C0017,Benani,Amina,client17@gmail.com,1991-09-21,Femme,Tnja,0659512272,2022-06-21,Direct
C0018,Chraibi,Omar,client18@gmail.com,1959-09-13,F,Tanger,0651870192,2023-08-13,Partenaire
C0019,Dahbi,Fatima,client19@gmail.com,2012-07-19,F,Tnja,0690585882,2022-05-04,Direct
C0020,Fassi,Fatima,client20@gmail.com,1995-05-24,Homme,Casablanca,0611698142,2023-03-07,Partenaire
C0021,Hassani,Youssef,client21@gmail.com,1989-01-26,,TNG,0680027662,2023-10-29,Email
C0022,Hassani,Karim,client22@gmail.com,2015-08-02,Femme,Tnja,0653258988,2022-09-09,SEO
C0023,Ghazi,Sara,client23@gmail.com,1952-07-29,Femme,Marrakech,0653622663,2022-07-06,Partenaire
C0024,El Amrani,Omar,client24@gmail.com,1999-11-12,0,Tanger,0679340535,2022-07-15,SEO
C0025,Dahbi,Laila,client25@gmail.com,2007-12-12,male,Marrakech,0670152969,2022-01-18,SEO
C0026,El Amrani,Sara,client26@gmail.com,1992-06-16,f,Casablanca,0667110154,2024-02-03,Direct
C0027,El Amrani,Omar,client27@gmail.com,1970-09-07,1,tanger,0635848226,2022-11-20,SEO
C0028,Dahbi,Amina,client28@gmail.com,2016-04-06,m,Marrakech,0647111151,2024-01-12,Direct
C0029,Benani,Amina,client29@gmail.com,1976-07-30,1,TANGER,0658436637,2022-07-03,Email
C0030,Alami,Ahmed,client30@invalid.com,1999-08-24,1,Tnja,0626948946,2023-10-16,Partenaire
C0031,Hassani,Laila,client31gmail.com,1989-07-08,1,Casablanca,0634744872,2022-02-22,Email
C0032,Ghazi,Laila,client32@gmail.com,1956-08-24,F,Tanger,0630364454,2022-06-02,Direct
C0033,Benani,Karim,client33@gmail.com,2004-05-24,f,TANGER,0680138498,2023-01-25,Partenaire
C0034,Ghazi,Omar,client34@gmail.com,2001-01-05,female,Tanger,0691823275,2024-01-28,SEO
C0035,El Amrani,Fatima,client35@gmail.com,1964-02-03,f,TANGER,0633328859,2023-07-20,SEO
C0036,Hassani,Omar,client36@gmail.com,1952-12-05,female,TANGER,0648668783,2023-12-25,Email
C0037,Dahbi,Omar,client37@gmail.com,2006-01-28,,TANGER,0667061186,2022-04-28,Direct
C0038,Chraibi,Fatima,client38@gmail.com,1955-05-09,1,TNG,0651286958,2023-09-02,Direct
C0039,El Amrani,Karim,client39@gmail.com,1974-06-04,Femme,Marrakech,0668755000,2022-03-24,Direct
C0040,El Amrani,Ahmed,client40@invalid.com,1958-03-12,0,TANGER,0687201917,2023-08-25,SEO
C0041,Alami,Youssef,client41@gmail.com,1992-03-18,1,Marrakech,0647333543,2022-07-05,Direct
C0042,Hassani,Sara,client42@gmail.com,1986-08-20,F,Casablanca,0653091709,2023-11-18,SEO
C0043,El Amrani,Karim,client43@gmail.com,2018-03-25,Femme,Tanger,0671045700,2022-04-01,Email
C0044,Alami,Laila,client44@gmail.com,1987-01-28,Homme,Tanger,0635176902,2023-06-15,Email
C0045,Alami,Amina,client45@gmail.com,1973-12-16,Femme,TNG,0648658617,2023-03-25,Partenaire
C0046,Dahbi,Youssef,client46@gmail.com,1977-11-17,female,Tanger,0684121929,2023-02-22,SEO
C0047,Hassani,Fatima,client47@gmail.com,2008-02-10,F,TNG,0676890827,2024-01-04,Email
C0048,Hassani,Amina,client48@gmail.com,1990-12-24,Femme,TNG,0661484043,2022-07-15,Direct
C0049,El Amrani,Karim,client49@gmail.com,1980-06-29,F,Tnja,0610344303,2022-10-17,Email
C0050,Hassani,Youssef,client50@gmail.com,1990-01-23,,Marrakech,0656321751,2022-12-07,Direct
C0051,Dahbi,Amina,client51@gmail.com,2001-04-19,0,Rabat,0641348220,2024-03-05,Partenaire
C0052,Ghazi,Youssef,client52@invalid.com,1994-06-09,Homme,Tanger,0626944487,2023-05-30,Direct
C0053,Benani,Laila,client53@gmail.com,1951-05-18,Femme,TNG,0665026398,2023-11-02,Ads
C0054,Fassi,Karim,client54@invalid.com,2008-04-19,1,tanger,0654099326,2023-11-22,Direct
C0055,Alami,Fatima,client55@gmail.com,1971-01-23,Femme,Tnja,0640532691,2024-02-04,SEO
C0056,Benani,Laila,client56@gmail.com,1964-12-04,,Tnja,0613885234,2022-02-17,Email
C0057,Ghazi,Youssef,client57@gmail.com,1971-11-28,0,Rabat,0685957578,2023-11-30,Ads
C0058,Dahbi,Laila,client58@gmail.com,2002-04-26,Homme,TNG,0641163805,2023-04-18,Email
C0059,El Amrani,Youssef,client59@gmail.com,1956-08-17,Femme,Marrakech,0656381032,2023-08-25,Email
C0060,Hassani,Omar,client60@gmail.com,1967-11-15,1,Rabat,0674855088,2022-04-20,Ads
C0061,El Amrani,Ahmed,client61@gmail.com,2009-01-19,1,Rabat,0646840133,2022-01-09,Direct
C0062,Hassani,Omar,client62@gmail.com,1970-08-24,M,Casablanca,0639394291,2023-10-14,Ads
C0063,Chraibi,Fatima,client63@gmail.com,2006-04-17,,Tanger,0651464269,2023-03-28,SEO
C0064,El Amrani,Sara,client64@gmail.com,2017-01-22,F,Rabat,0633574011,2022-07-25,Ads
